1_1.png= 578
1_1171.png= to
1_1172.png= be
1_1173.png= guided
1_1174.png= in
1_1175.png= all
1_1176.png= glebe
1_1177.png= house.
1_1178.png= A
1_1179.png= thousand
1_1180.png= pounds
1_1181.png= was
1_1182.png= about
1_1183.png= the
1_1184.png= things
1_1185.png= by
1_1186.png= the
1_1187.png= book
1_1188.png= which
1_1189.png= tells
1_1190.png= us
1_1191.png= when
1_1192.png= one
1_1193.png= cheek
1_1194.png= sum'
1_1195.png= requisite,
1_1196.png= one
1_1197.png= half
1_1198.png= of
1_1199.png= which,
1_1200.png= according
1_1201.png= to
1_1202.png= rule,
1_1203.png= is
1_1204.png= stricken
1_1205.png= to
1_1206.png= turn
1_1207.png= the
1_1208.png= otherthis
1_1209.png= disciple
1_1210.png= of
1_1211.png= Chris-
1_1212.png= should
1_1213.png= have
1_1214.png= been
1_1215.png= furnished
1_1216.png= by
1_1217.png= the
1_1218.png= clergyman,
1_1219.png= the
1_1220.png= other
1_1221.png= by
1_1222.png= the
1_1223.png= Commission.
1_1224.png= The
1_1225.png= Commissioners
1_1226.png= altered
1_1227.png= the
1_1228.png= conditions
1_1229.png= of
1_1230.png= the
1_1231.png= sum
1_1232.png= twice
1_1233.png= or
1_1234.png= thrice,
1_1235.png= raising
1_1236.png= it
1_1237.png= each
1_1238.png= time,
1_1239.png= and
1_1240.png= finally
1_1241.png= fixing
1_1242.png= it
1_1243.png= at
1_1244.png= about
1_1245.png= 800/.
1_1246.png= tor
1_1247.png= the
1_1248.png= moiety,
1_1249.png= instead
1_1250.png= of
1_1251.png= 500/.
1_1252.png= The
1_1253.png= poor
1_1254.png= clergyman
1_1255.png= could
1_1256.png= neither
1_1257.png= afford
1_1258.png= the
1_1259.png= outlay,
1_1260.png= nor
1_1261.png= to
1_1262.png= keep
1_1263.png= up,
1_1264.png= with
1_1265.png= his
1_1266.png= slender
1_1267.png= income,
1_1268.png= the
1_1269.png= style
1_1270.png= of
1_1271.png= house
1_1272.png= which
1_1273.png= the
1_1274.png= Commissioners
1_1275.png= stipulated
1_1276.png= for,
1_1277.png= with
1_1278.png= library,
1_1279.png= drawing
1_1280.png= room,
1_1281.png= dining
1_1282.png= room,
1_1283.png= &c.,
1_1284.png= suited
1_1285.png= to
1_1286.png= a
1_1287.png= man
1_1288.png= of
1_1289.png= about
1_1290.png= 1,000/.
1_1291.png= a
1_1292.png= year,
1_1293.png= and
1_1294.png= which
1_1295.png= they
1_1296.png= would
1_1297.png= have
1_1298.png= forced
1_1299.png= on
1_1300.png= one
1_1301.png= of
1_1302.png= 150/.
1_1303.png= We
1_1304.png= do
1_1305.png= not
1_1306.png= profess
1_1307.png= to
1_1308.png= be
1_1309.png= exact
1_1310.png= in
1_1311.png= the
1_1312.png= figures,
1_1313.png= but
1_1314.png= this
1_1315.png= is
1_1316.png= the
1_1317.png= outline
1_1318.png= of
1_1319.png= the
1_1320.png= case.
1_1321.png= Can
1_1322.png= we
1_1323.png= wonder
1_1324.png= now
1_1325.png= that
1_1326.png= a
1_1327.png= body
1_1328.png= disposed
1_1329.png= to
1_1330.png= be
1_1331.png= so
1_1332.png= profuse
1_1333.png= in
1_1334.png= its
1_1335.png= expenditure
1_1336.png= is
1_1337.png= reduced
1_1338.png= to
1_1339.png= bank
1_1340.png= ruptcy
1_1341.png= ?
1_1342.png= And
1_1343.png= as
1_1344.png= Falstaff
1_1345.png= was
1_1346.png= not
1_1347.png= only
1_1348.png= witty
1_1349.png= him
1_1350.png= self,
1_1351.png= but
1_1352.png= the
1_1353.png= cause
1_1354.png= of
1_1355.png= wit
1_1356.png= in
1_1357.png= others,
1_1358.png= so
1_1359.png= this
1_1360.png= Eccle
1_1361.png= siastical
1_1362.png= Commission
1_1363.png= is
1_1364.png= .not
1_1365.png= only
1_1366.png= bankrupt
1_1367.png= itself,
1_1368.png= hut
1_1369.png= was
1_1370.png= calculated
1_1371.png= to
1_1372.png= be,
1_1373.png= aud
1_1374.png= doubtless
1_1375.png= has
1_1376.png= been,
1_1377.png= the
1_1378.png= cause
1_1379.png= of
1_1380.png= bankruptcy
1_1381.png= in
1_1382.png= others.
1_1383.png= Had
1_1384.png= they
1_1385.png= induced
1_1386.png= the
1_1387.png= clergyman
1_1388.png= whose
1_1389.png= case
1_1390.png= Lord
1_1391.png= Radnor
1_1392.png= made
1_1393.png= known
1_1394.png= to
1_1395.png= build
1_1396.png= the
1_1397.png= mansion
1_1398.png= so
1_1399.png= preposte
1_1400.png= rously
1_1401.png= exceeding
1_1402.png= his
1_1403.png= means,
1_1404.png= he
1_1405.png= would
1_1406.png= probably
1_1407.png= by
1_1408.png= this
1_1409.png= time
1_1410.png= have
1_1411.png= been
1_1412.png= as
1_1413.png= insolvent
1_1414.png= as
1_1415.png= his
1_1416.png= dignified
1_1417.png= misleading
1_1418.png= superiors
1_1419.png= in
1_1420.png= the
1_1421.png= Commission.
1_1422.png= There
1_1423.png= was
1_1424.png= a
1_1425.png= curious
1_1426.png= ingenuity
1_1427.png= in
1_1428.png= making
1_1429.png= the
1_1430.png= two
1_1431.png= ends
1_1432.png= of
1_1433.png= extravagance
1_1434.png= meet
1_1435.png= in
1_1436.png= the
1_1437.png= instance
1_1438.png= referred
1_1439.png= to;
1_1440.png= the
1_1441.png= Commissioners
1_1442.png= insisting
1_1443.png= on
1_1444.png= ad
1_1445.png= vancing
1_1446.png= more
1_1447.png= than
1_1448.png= was
1_1449.png= necessary
1_1450.png= to
1_1451.png= compel
1_1452.png= the
1_1453.png= poor
1_1454.png= clergyman
1_1455.png= to
1_1456.png= defray
1_1457.png= more
1_1458.png= than
1_1459.png= he
1_1460.png= could
1_1461.png= afford,
1_1462.png= and
1_1463.png= entailing
1_1464.png= the
1_1465.png= further
1_1466.png= imprudence
1_1467.png= of
1_1468.png= having
1_1469.png= to
1_1470.png= keep
1_1471.png= up
1_1472.png= a
1_1473.png= house
1_1474.png= too
1_1475.png= large
1_1476.png= for
1_1477.png= his
1_1478.png= very
1_1479.png= small
1_1480.png= income.
1_1481.png= With
1_1482.png= such
1_1483.png= an
1_1484.png= example
1_1485.png= as
1_1486.png= this
1_1487.png= before
1_1488.png= us
1_1489.png= we
1_1490.png= cannot
1_1491.png= be
1_1492.png= surprised
1_1493.png= that
1_1494.png= the
1_1495.png= Com
1_1496.png= missioners'
1_1497.png= affairs
1_1498.png= are
1_1499.png= as
1_1500.png= much
1_1501.png= embarrassed
1_1502.png= as
1_1503.png= they
1_1504.png= can
1_1505.png= be.
1_1506.png= They
1_1507.png= have,
1_1508.png= indeed,
1_1509.png= shown
1_1510.png= aptitudes
1_1511.png= for
1_1512.png= arriving
1_1513.png= at
1_1514.png= the
1_1515.png= ne
1_1516.png= plus
1_1517.png= ultra
1_1518.png= of
1_1519.png= mismanage
1_1520.png= ment.
1_1521.png= If
1_1522.png= there
1_1523.png= had
1_1524.png= been
1_1525.png= wanted
1_1526.png= a
1_1527.png= body
1_1528.png= to
